Ticker,Company Name,Sector,Industry,Market Cap,Market Cap B,P/E Ratio,Beta,ESG Score,ESG Rating,Environmental Score,Social Score,Governance Score,Carbon Emissions,Carbon Intensity,Renewable Energy %,Employee Satisfaction,Diversity Score,Board Independence,Controversies
AAPL,Apple Inc.,Technology,Consumer Electronics,3888924065792.0,3888.92,33.45006,1.107,69.92,A,61.33,70.43,80.88,,51.675051118180065,68.28670873353616,81.1225692767861,65.33531160562568,83.85022082722443,1
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2982167183360.0,2982.17,25.124607,1.084,54.13,CCC,34.65,62.84,71.39,,147.23284943587495,70.52336589806589,60.6674781985184,66.21389112912314,51.133781657175945,1
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3791595503616.0,3791.6,28.967903,1.086,62.79,BBB,53.79,63.52,69.18,,60.53569330797319,53.84652081188504,58.39033174082568,47.95252176931101,54.56088585277203,1
NVDA,NVIDIA Corporation,Technology,Semiconductors,4602080002048.0,4602.08,46.671703,2.314,59.58,CCC,38.16,70.7,77.03,,117.83278298698008,63.531431567348676,61.18935848869785,67.41460344253052,62.6233428746786,0
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,818856460288.0,818.86,15.024974,1.053,64.54,A,63.65,55.49,74.18,,51.195862618633484,71.67759947847128,50.777823029336716,53.84261322853913,74.91723403749981,0
V,Visa Inc.,Financial Services,Credit Services,630642442240.0,630.64,30.77046,0.78,65.05,A,57.61,66.14,71.2,,55.66411961557775,67.87430990658598,65.83559584933668,56.14894271134181,80.65307937986238,0
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,274655805440.0,274.66,17.689413,1.311,59.85,CCC,40.81,64.98,73.36,,126.45562679637109,73.67783784886967,67.55335331258159,67.65956073338485,79.47266037867415,2
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,588386009088.0,588.39,22.14098,0.347,71.73,AA,63.11,72.46,76.27,,45.09480637730573,71.38208898144025,82.45132340263416,66.88883436066891,62.44013147767252,0
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,255274369024.0,255.27,14.685252,0.415,68.34,A,43.28,76.96,70.67,,70.30352074167229,51.78504867716239,84.72420621046206,74.31734805675265,51.928168599375965,1
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2139159527424.0,2139.16,27.83116,1.385,56.33,BBB,28.77,64.46,75.19,,148.02660738885322,55.84641201354376,67.47918308385077,46.15834167863533,78.45742618818232,1
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1568310165504.0,1568.31,390.60278,1.887,57.54,BBB,35.05,70.68,66.61,,108.4841937333653,69.24265622222894,64.01620903535304,45.941673691360094,59.92779941522724,0
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,1059193356288.0,1059.19,46.451054,0.671,64.9,CCC,58.95,65.26,70.34,,34.556746816193304,46.72735559294321,57.85805649661698,67.07144150777654,66.26779374439616,1
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,641768226816.0,641.77,22.713432,0.358,44.51,BB,25.56,56.52,70.39,,134.62951067729108,30.371022531610308,56.9083329792328,53.909680809393464,64.29840213340044,0
BA,The Boeing Company,Industrials,Aerospace & Defense,188090630144.0,188.09,96.57258,1.14,54.84,BBB,34.82,63.26,75.07,,149.1912943721537,61.51860683799325,60.312199807238514,55.98221323659449,63.25167440307385,0
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,359517749248.0,359.52,40.75491,1.554,54.96,BBB,30.19,68.99,74.95,,91.43634220206123,43.58227247206013,67.46933624314944,46.310558563664856,75.58554148389055,0
